n,k,policy,success_rate,mean_expansions_all,mean_expansions_success,mean_expansions_failure,mean_seconds
3,10,moe_all,1.0,11.9,11.9,,0.003930359985679388
3,11,expert_wide_small,1.0,14.8,14.8,,0.0003432900062762201
3,11,expert_wide_large,1.0,15.6,15.6,,0.000373700016643852
3,11,expert_tall_small,1.0,12.0,12.0,,0.0003093699924647808
3,11,expert_tall_large,1.0,14.5,14.5,,0.0003637499874457717
3,11,expert_balanced_small,1.0,15.2,15.2,,0.0003538000164553523
3,11,expert_balanced_large,1.0,14.3,14.3,,0.0004216499743051827
3,11,moe_sparse_top1,1.0,12.0,12.0,,0.0028592499787919224
3,11,moe_top2,1.0,12.0,12.0,,0.003014340007212013
3,11,moe_top3,1.0,12.2,12.2,,0.003275090013630688
3,11,moe_all,1.0,12.3,12.3,,0.003920249990187585
3,12,expert_wide_small,1.0,16.0,16.0,,0.0003777699894271791
3,12,expert_wide_large,1.0,17.3,17.3,,0.0003985999850556254
3,12,expert_tall_small,1.0,13.5,13.5,,0.0003296000184491277
3,12,expert_tall_large,1.0,14.6,14.6,,0.00038701004814356565
3,12,expert_balanced_small,1.0,15.6,15.6,,0.00036976998671889305
3,12,expert_balanced_large,1.0,15.0,15.0,,0.0003554999944753945
3,12,moe_sparse_top1,1.0,13.5,13.5,,0.003250300022773445
3,12,moe_top2,1.0,13.8,13.8,,0.0034808799857273696
3,12,moe_top3,1.0,13.8,13.8,,0.0038217199966311456
3,12,moe_all,1.0,14.1,14.1,,0.004586159985046833
3,13,expert_wide_small,1.0,17.0,17.0,,0.0003987500094808638
3,13,expert_wide_large,0.9,19.6,19.0,25.0,0.00046968997921794655
3,13,expert_tall_small,1.0,14.2,14.2,,0.0003484700107946992
3,13,expert_tall_large,0.9,17.2,16.333333333333332,25.0,0.0004431900102645159
3,13,expert_balanced_small,1.0,17.9,17.9,,0.0004184000194072723
3,13,expert_balanced_large,1.0,15.8,15.8,,0.00037362000439316033
3,13,moe_sparse_top1,1.0,14.2,14.2,,0.0034489900106564166
3,13,moe_top2,1.0,14.2,14.2,,0.0036770299775525928
3,13,moe_top3,1.0,14.6,14.6,,0.004042169998865574
3,13,moe_all,1.0,14.6,14.6,,0.004737549996934831
3,14,expert_wide_small,1.0,17.8,17.8,,0.00040425999322906135
3,14,expert_wide_large,0.9,20.0,19.444444444444443,25.0,0.0004795700078830123
3,14,expert_tall_small,1.0,15.0,15.0,,0.00037194001488387584
3,14,expert_tall_large,0.9,18.0,17.22222222222222,25.0,0.00044598998501896856
3,14,expert_balanced_small,1.0,18.3,18.3,,0.00043765001464635134
3,14,expert_balanced_large,1.0,17.7,17.7,,0.00041959999362006783
3,14,moe_sparse_top1,1.0,15.0,15.0,,0.003878409985918552
3,14,moe_top2,1.0,15.0,15.0,,0.0037937099812552335
3,14,moe_top3,1.0,15.3,15.3,,0.004278080002404749
3,14,moe_all,1.0,15.3,15.3,,0.005208960000891239
4,3,expert_wide_small,1.0,9.0,9.0,,0.00021905000321567058
4,3,expert_wide_large,1.0,9.3,9.3,,0.00022186998976394534
4,3,expert_tall_small,1.0,7.1,7.1,,0.00017180002760142088
4,3,expert_tall_large,1.0,7.5,7.5,,0.0001789099886082113
4,3,expert_balanced_small,1.0,10.5,10.5,,0.00024772000033408404
4,3,expert_balanced_large,1.0,6.2,6.2,,0.00015316999051719903
4,3,moe_sparse_top1,1.0,6.2,6.2,,0.0013071199995465578
4,3,moe_top2,1.0,9.7,9.7,,0.0023235600208863618
4,3,moe_top3,1.0,9.7,9.7,,0.00248191999271512
4,3,moe_all,1.0,10.3,10.3,,0.0032032599789090454
4,4,expert_wide_small,1.0,8.9,8.9,,0.0002130499924533069
4,4,expert_wide_large,1.0,9.4,9.4,,0.0002240000059828162
4,4,expert_tall_small,1.0,7.8,7.8,,0.00018931999802589415
